uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
fe65837d-3924-542a-8e5c-b78d35223b29,Duisburg Hbf,3,ICE 727 InterCityExpress,München Hbf,17:07,17:56,49.0,True
5dfcb9fd-988a-5815-bdbf-1476b781e8f9,Duisburg Hbf,4,ICE 848 InterCityExpress,Düsseldorf Hbf,17:50,,,True
56eccc04-b6dc-502f-978e-4f08f968d5c3,Duisburg Hbf,13,ICE 626 InterCityExpress,Essen Hauptbahnhof,17:51,18:01,10.0,True
a0e6b34c-8e65-58db-9a3e-08a77daab0f7,Bochum Hbf,3,ICE 1015 Norderney,München Hbf,18:03,18:05,2.0,True
56f64974-48c2-5c6f-9417-36f3131733c6,Dortmund Hbf,10,ICE 643 InterCityExpress,S Ostbahnhof (Berlin),17:47,,,True
2fe5e487-b7d7-502d-ad74-dd5e0ecde1fe,Dortmund Hbf,16,ICE 1015 Norderney,München Hbf,17:50,17:53,3.0,True
2478be28-4036-51f5-8a40-2f6a2fc84563,Düsseldorf Hbf,16,ICE 727 InterCityExpress,München Hbf,17:21,18:10,49.0,True
b9b3c4e0-31e2-575b-9cee-3258167afdf2,Düsseldorf Hbf,19,ICE 626 InterCityExpress,Essen Hauptbahnhof,17:38,17:50,12.0,True
c4e1ab54-6614-53a5-bc93-dd232620054a,Düsseldorf Hbf,17,ICE 945 InterCityExpress,S Ostbahnhof (Berlin),17:50,,,True
bbd351e6-d6fe-5d25-b658-5eb89a873a26,Duisburg Hbf,3,ICE 729 InterCityExpress,München Hbf,18:07,18:08,1.0,True
6a307f10-3628-5c57-830e-85bd6c96292f,Dortmund Hbf,16,ICE 546 InterCityExpress,Köln Hbf,18:14,,,True
13150ebe-50aa-5e93-ac2e-31bae3d4a7dc,Essen Hauptbahnhof,2,ICE 729 InterCityExpress,München Hbf,17:54,17:54,0.0,True
3ad572bc-45bb-5888-bbac-dee1620b516b,Essen Hauptbahnhof,1,ICE 203 RÃ¼gen,Karlsruhe Hauptbahnhof,18:00,18:05,5.0,True
fc5f829c-f0eb-5b73-b2a7-4e1853b8c18d,Duisburg Hbf,13,ICE 945 InterCityExpress,S Ostbahnhof (Berlin),18:09,,,True
ff39b54e-0891-52dd-a937-c97959d84473,Duisburg Hbf,4,ICE 203 RÃ¼gen,Karlsruhe Hauptbahnhof,18:13,18:18,5.0,True
91faaf11-740b-508b-91d3-f4af35e006a0,Wuppertal Hbf,2,ICE 955 InterCityExpress,S Ostbahnhof (Berlin),18:16,,,True
ad6f6ad8-d987-51e2-805d-de86c83f2484,MG Hbf /Europaplatz,1,ICE 159 ICE International,Frankfurt (Main) Hauptbahnhof,18:34,18:34,0.0,True
60658093-c38b-5054-9aef-b343929b3d71,Bochum Hbf,3,ICE 546 InterCityExpress,Köln Hbf,18:25,,,True
17a4e88c-6fbb-532d-827e-df1b3011adf1,Bochum Hbf,5,ICE 945 InterCityExpress,S Ostbahnhof (Berlin),18:32,,,True
9627702c-d11f-5b43-8241-b65919efac45,Essen Hauptbahnhof,2,ICE 1015 Norderney,München Hbf,18:15,18:18,3.0,True
5084a958-1266-595c-a801-8eccaddc9b5f,Essen Hauptbahnhof,6,ICE 945 InterCityExpress,S Ostbahnhof (Berlin),18:21,,,True
2081a4db-a888-5632-9157-3d3ac31375e9,Düsseldorf Hbf,16,ICE 729 InterCityExpress,München Hbf,18:21,18:29,8,True
7cb9813f-e1a0-5ab0-a0ab-13570f38a689,Duisburg Hbf,4,ICE 1015 Norderney,München Hbf,18:30,18:31,1.0,True
f95d76dd-4240-5234-8c5d-1a6365ae1607,Dortmund Hbf,8,ICE 945 InterCityExpress,S Ostbahnhof (Berlin),18:45,,,True
