uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
fe65837d-3924-542a-8e5c-b78d35223b29,Duisburg Hbf,3,ICE 727 InterCityExpress,München Hbf,17:07,17:56,49.0,True
d2312c86-177c-59a6-8b7d-9f2d4700b45a,Duisburg Hbf,5,SB30,DU-Hbf Osteingang,17:21,17:49,28.0,True
2b282a23-33bd-5753-93ed-c81aed697a76,Duisburg Hbf,13,IC 2012 AllgÃ¤u,Dortmund Hbf,17:28,18:23,55.0,True
99121cac-9e07-5158-8df8-192157085445,Duisburg Hbf,3,RE2,Düsseldorf Hbf,17:36,,,True
7c13904b-42f7-52ac-ac65-13713b34ef13,Duisburg Hbf,6,SB10,Neukirchen-Vl. Vluyner Südring,17:39,17:56,17.0,True
ea06f504-4c33-542b-bd7d-b83f1e2d1ecb,Duisburg Hbf,6,920,Duisburg Kaldenhausen Krölls,17:44,17:45,1.0,True
5d662ba3-0fd0-5d26-b2be-56a75f1b34fd,Duisburg Hbf,6,934,Betr. Am Unkelstein,17:44,17:44,0.0,True
9b5c45b6-3756-59f4-893e-37710168362c,Duisburg Hbf,11,RE19,Oberhausen Hbf,17:44,,,True
6f3d8e23-75cf-520a-bb55-e206b6c050f6,Duisburg Hbf,1,903,Dinslaken Bahnhof,17:44,17:45,1.0,True
0f40bb65-2a2b-53a1-b1b3-ba26a995d697,Duisburg Hbf,6,929,Neukirchen-Vl. Vluyner Südring,17:45,17:45,0.0,True
d83f53c7-ad7a-5cfe-bbfb-c580ab0b9df3,Duisburg Hbf,,SEV,Dinslaken Bahnhof,17:45,17:45,0.0,True
97625c15-c43b-5d2f-871c-cfb6bdc28065,Duisburg Hbf,5,933,Duisburg Uni Nord,17:46,,,True
711d91c5-e3b7-5a0e-b49b-e69937d5accc,Duisburg Hbf,2,903,Duisburg Mannesmann Tor 2,17:46,17:51,5.0,True
